,Date,Title,Cost GBP,Brand
0,23/09/2021,Shark S900 Dual Special Edition - Matt Black,129.99,Shark
1,23/09/2021,Scorpion Exo-1400 Air Carbon - Black,249.97,Scorpion
2,23/09/2021,Caberg Duke II - Matt Black,118.98,Caberg
3,23/09/2021,Caberg Duke II - Hi Vision Yellow,142.49,Caberg
4,23/09/2021,Roof Boxer V8 - Full Matt Black,209.98,Roof
5,23/09/2021,Shoei NXR - Matt Black,309.94,Shoei
6,23/09/2021,AGV K5-S - Mono Matt Black,251.99,AGV
7,23/09/2021,HJC CS-15 Marvel - Spiderman Homecoming,74.99,HJC
8,23/09/2021,Nolan N21 Visor - Classic Flat Black,129.99,Nolan
9,23/09/2021,Shoei NXR - Gloss White,303.99,Shoei
10,23/09/2021,Arai Tour X4 - Diamond White,499.99,Arai
11,23/09/2021,Nolan N87 N-Com - Classic Metal White,179.98,Nolan
12,23/09/2021,AGV K1 - Gloss Black,116.99,AGV
13,23/09/2021,Bell Custom 500 DLX - Roland Sands Design Check It,189.99,Bell
14,23/09/2021,Scorpion ADX-1 - Matt Black,174.14,Scorpion
15,23/09/2021,Schuberth C3 Pro - Matt Black,359.99,Schuberth
16,23/09/2021,Shoei Neotec - Matt Black,399.99,Shoei
17,23/09/2021,AGV K5-S - Union Jack,269.99,AGV
18,23/09/2021,X-Lite X-803 Ultra Carbon - Puro Gloss Black Carbon,399.99,X-Lite
19,23/09/2021,MDS G240 - Gloss White,59.99,MDS
20,23/09/2021,Nolan N87 N-Com - Classic Flat Black,189.99,Nolan
21,23/09/2021,Shoei Neotec 2 - Blue Metallic,549.99,Shoei
22,23/09/2021,Scorpion EXO 490 - Matt Black,95.99,Scorpion
23,23/09/2021,Nolan N21 Visor - Classic Metal White,129.99,Nolan
24,23/09/2021,Shark Ridill 1.2 - Blank Black,89.99,Shark
25,23/09/2021,AGV RP60 - Matt Black,79.99,AGV
26,23/09/2021,Arai Tour X4 - Diamond Black,499.99,Arai
27,23/09/2021,Shoei GT Air 2 - Affair TC-6,549.99,Shoei
28,23/09/2021,Scorpion Exo Belfast - Matt Black,104.99,Scorpion
29,23/09/2021,Schuberth C4 Pro - Gloss White,349.98,Schuberth
30,23/09/2021,HJC I90 - Hollen Red / White / Blue,188.98,HJC
31,23/09/2021,AGV K5-S - Mono Gloss Black,251.99,AGV
32,23/09/2021,Schuberth C3 Pro - Gravity Blue,374.99,Schuberth
33,23/09/2021,Schuberth C4 Pro Carbon - Tempest White,449.99,Schuberth
34,23/09/2021,Arai Tour X4 - Vision Grey,579.99,Arai
35,23/09/2021,AGV K1 - Guy Martin Replica,161.99,AGV
36,23/09/2021,AGV K1 - Soleluna 2015,161.99,AGV
37,23/09/2021,Shoei X-Spirit 3 - Matt Black,599.99,Shoei
38,23/09/2021,Bell Custom 500 DLX - Solid Matt Black,179.99,Bell
39,23/09/2021,Shoei Neotec 2 - Anthracite,549.99,Shoei
40,23/09/2021,Arai Tour X4 - Frost Black,499.99,Arai
41,23/09/2021,Arai RX-7V - Solid Diamond Black,669.99,Arai
42,23/09/2021,Spada Raze - Kromatik Matt White / Black,59.46,Spada
43,23/09/2021,Spada Raze - Royalty Red / White / Blue,59.46,Spada
44,23/09/2021,Shoei J-O - Matt Black,299.99,Shoei
45,23/09/2021,Caberg Freeride - Matt Black,127.08,Caberg
46,23/09/2021,Spada Reveal - Gloss Black,63.99,Spada
47,23/09/2021,Nolan N100-5 N-Com - Classic Metal White,299.99,Nolan
48,23/09/2021,Caberg Tourmax - Marathon Black / Fluo Yellow,191.99,Caberg
49,23/09/2021,Schuberth C3 Pro - Split White,349.99,Schuberth
50,23/09/2021,Shoei GT Air 2 - Affair TC-1,549.99,Shoei
51,23/09/2021,Nexx X.WED 2 - Plain White,349.99,Nexx
52,23/09/2021,Shark Spartan Carbon - Skin White / Silver,305.99,Shark
53,23/09/2021,LS2 Pioneer - Trigger Black / Hi-Viz Yellow,79.99,LS2
54,23/09/2021,AGV Legends X3000 - Mono White,199.99,AGV
55,23/09/2021,Roof Boxxer Carbon - Uni Matt Black,339.95,Roof
56,23/09/2021,Arai RX-7V - Solid Diamond White,669.99,Arai
57,23/09/2021,Shoei GT Air 2 - Matt Black,469.99,Shoei
58,23/09/2021,AGV K1 - Dreamtime,161.99,MT
59,23/09/2021,Shoei Neotec 2 - Matt Black,549.99,Shoei
60,23/09/2021,Icon Airflite - Battlescar 2 Military Green,257.99,Icon
61,23/09/2021,Shark Spartan Carbon - Skin Black / Anthracite,259.98,Shark
62,23/09/2021,LS2 Strobe - Solid Matt Titanium,79.99,LS2
63,23/09/2021,Shoei GT Air 2 - White,449.99,Shoei
64,23/09/2021,AGV K1 - Gloss White,125.99,AGV
65,23/09/2021,Shark Evo-One 2 - Lithion Dual Black / Anthracite,299.99,Shark
66,23/09/2021,Shoei Neotec 2 - Black,519.99,Shoei
67,23/09/2021,Shoei J-O - Hawker TC-5,349.99,Shoei
68,23/09/2021,Nexx X.WED 2 - Plain Matt Black,314.99,Nexx
69,23/09/2021,Shoei Neotec 2 - Wine Red,549.99,Shoei
70,23/09/2021,Shoei GT Air 2 - Deviation TC-9,549.99,Shoei
71,23/09/2021,HJC R-PHA 11 - Cal Crutchlow Replica,324.98,HJC
72,23/09/2021,Nolan N40-5 N-Com - Classic Metal White,169.99,Nolan
73,23/09/2021,Shoei Neotec 2 - Splicer TC-8,599.99,Shoei
74,23/09/2021,Schuberth C3 Pro - Gloss Silver,359.99,Schuberth
75,23/09/2021,Nolan N70-2 X - Grandes Alpes Black / White / Blue / Red,289.99,Nolan
76,23/09/2021,Shoei Neotec 2 - Splicer TC-2,599.99,Shoei
77,23/09/2021,Nolan N40-5 GT N-Com - Classic Flat Black,199.99,Nolan
78,23/09/2021,HJC C70 - Canex Green,89.99,HJC
79,23/09/2021,Bell SRT - Predator Copper / Black,99.99,Bell
80,23/09/2021,AGV K3 SV-S - Mono Matt Black,170.99,AGV
81,23/09/2021,Shoei NXR - Ruts TC6,349.99,Shoei
82,23/09/2021,Shoei GT Air 2 - Black,449.99,Shoei
83,23/09/2021,Shark D-Skwal 2 - Blank Matt Black,134.85,Shark
84,23/09/2021,Shoei NXR - Equate TC-10,369.99,Shoei
85,23/09/2021,LS2 Valiant - Solid Matt Titanium,199.99,LS2
86,23/09/2021,Icon Airflite - Skull 18 Black,249.99,Icon
87,23/09/2021,MT Thunder 3 SV - One Black / White,89.99,MT
88,23/09/2021,LS2 Valiant - Solid Gloss White,219.99,LS2
89,23/09/2021,Arai Tour X4 - Break Blue,579.99,Arai
90,23/09/2021,Spada Raze - Matt Black,50.96,Spada
91,23/09/2021,Scorpion Exo Combat Evo - Matt Black,169.99,Scorpion
92,23/09/2021,HJC C70 - Matt Black,139.99,HJC
93,23/09/2021,Arai RX-7V Replica - Rea Green,789.99,Arai
94,23/09/2021,HJC R-PHA 11 - Marvel Venom 2,449.98,HJC
95,23/09/2021,HJC R-PHA 70 - Shuky Yellow,279.99,HJC
96,23/09/2021,X-Lite X-803 Ultra Carbon - Puro Sport Red,429.99,X-Lite
97,23/09/2021,X-Lite X-803 Ultra Carbon RS - Hot Lap Carbon,489.99,X-Lite
98,23/09/2021,Bell Custom 500 Standard - Vintage White,99.99,Bell
99,23/09/2021,Bell Moto 3 - Classic Matt / Gloss Blackout,249.99,Bell
100,23/09/2021,Arai Tour X4 - Break Orange,579.99,Arai
101,23/09/2021,Shoei J-O - Rat Grey,299.99,Shoei
102,23/09/2021,Caberg Horus - Scout Matt Black / Red,187.99,Caberg
103,23/09/2021,Shark Ridill 1.2 - Nelum Black / Pearl,125.99,Shark
104,23/09/2021,MT Revenge - Zusa Blue / Fluo Yellow,59.99,MT
105,23/09/2021,HJC i70 - Matt Black,159.99,HJC
106,23/09/2021,Bell Broozer - Solid Matt Black,166.51,Bell
107,23/09/2021,Bell Bullitt Carbon - Roland Sand Design Check It Helmet Matt / Gloss Black,549.99,Bell
108,23/09/2021,Nolan N70-2 X - Classic Metal White,249.99,Nolan
109,23/09/2021,MT Le Mans 2 SV - Skull & Roses Black / Red,59.99,MT
110,23/09/2021,Scorpion Exo R1 Air - Carbon Gloss Black,389.99,Scorpion
111,23/09/2021,Shark Evo ES - Endless White / Black / Red,278.99,Shark
112,23/09/2021,Shoei GT Air 2 - Light Silver,469.99,Shoei
113,23/09/2021,AGV K3 SV-S - VR46,188.99,AGV
114,23/09/2021,AGV Legends X3000 - Barry Sheene Replica,328.99,AGV
115,23/09/2021,Shoei J-O - Matt Brown,299.99,Shoei
116,23/09/2021,HJC R-PHA 70 - Matt Titanium,349.99,HJC
117,23/09/2021,Schuberth E1 - Matt Black,399.99,Schuberth
118,23/09/2021,Nolan N100-5 N-Com - Consistency LED Yellow,329.99,Nolan
119,23/09/2021,MT Targo - Solid Gloss Pearl White,49.98,MT
120,23/09/2021,AGV Corsa-R Rossi Goodwood - Black / White / Yellow,399.99,AGV
121,23/09/2021,Spada Raze - Sandanista Sand / Tan,59.46,Spada
122,23/09/2021,Shoei Ex-Zero - Matt Black,359.99,Shoei
123,23/09/2021,Shark D-Skwal 2 - Blank White,134.99,Shark
124,23/09/2021,HJC CS-15 - Trion Red,99.99,HJC
125,23/09/2021,Shoei Glamster - Basalt Grey,399.99,Shoei
126,23/09/2021,Icon Airflite - Blockchain Green,257.99,Icon
127,23/09/2021,AGV Corsa-R Replica - Sic58,429.98,AGV
128,23/09/2021,Roof Boxxer Carbon - Uni Black,339.94,Roof
129,23/09/2021,Shoei GT Air 2 - Haste TC-4,549.99,Shoei
130,23/09/2021,HJC C70 - Koro Yellow,127.99,HJC
131,23/09/2021,Spada Intrepid - Pearl White,76.45,Spada
132,23/09/2021,Arai Tour X4 - Cover UK,579.99,Arai
133,23/09/2021,MT Targo - Doppler Matt Black / Fluo Yellow,44.99,MT
134,23/09/2021,Nexx X.R2 Carbon - Black / White,299.99,Nexx
135,23/09/2021,Shoei Neotec 2 - Light Silver,549.99,Shoei
136,23/09/2021,Scorpion EXO 490 - Divina Black Chameleon,139.99,Scorpion
137,23/09/2021,Icon Airflite - Quicksilver,225.99,Icon
138,23/09/2021,Shoei J-O - Gloss Black,299.99,Shoei
139,23/09/2021,Caberg Duke II - Super Legend Red / White,155.98,Caberg
140,23/09/2021,HJC R-PHA 11 - Carbon Black,449.99,HJC
141,23/09/2021,Shoei NXR - Variable TC-1,369.99,Shoei
142,23/09/2021,Shark Skwal 2.2 - Venger Black / Yellow,185.99,Shark
143,23/09/2021,Bell Star DLX Mips - Lux Checkers Matt / Gloss Black / White,449.99,Bell
144,23/09/2021,Shoei Neotec 2 - Matt Deep Grey,549.99,Shoei
145,23/09/2021,Scorpion Exo-Tech - Pulse Black / Red,199.99,Scorpion
146,23/09/2021,HJC R-PHA 70 - Shuky Red,279.99,HJC
147,23/09/2021,Nolan N100-5 N-Com - Consistency Flat Lava Grey,329.99,Nolan
148,23/09/2021,Shark D-Skwal 2 - Penxa Black / Green / Yellow,152.99,Shark
149,23/09/2021,Icon Airflite - Peace Keeper Black,257.99,Icon
150,23/09/2021,Shoei GT Air 2 - Reminisce TC-5,549.99,Shoei
151,23/09/2021,Arai Debut - Modern Grey,329.99,Arai
152,23/09/2021,HJC CS-15 - Plain Matt Black,79.99,HJC
153,23/09/2021,Shark Evo ES - Blank Matt Black,251.99,Shark
154,23/09/2021,Shoei GT Air 2 - Haste TC-2,549.99,Shoei
155,23/09/2021,HJC R-PHA 70 - Matt Black,349.99,HJC
156,23/09/2021,Shark Nano - Blank Gloss White,125.99,Shark
157,23/09/2021,Shoei NXR - Dystopia TC-5,359.99,Shoei
158,23/09/2021,Nexo Comfort Flip - Gloss Black,69.99,Nexo
159,23/09/2021,Shark Evo-One 2 - Keenser Matt Black / Silver / Red,359.99,Shark
160,23/09/2021,Spada Raze - Matt Green,50.96,Spada
161,23/09/2021,AGV K6 - Nardo Grey,323.99,AGV
